pet_id,issue_date,listing_date,condition,color_type,length_m,height_cm,X1,X2,breed_category,pet_category
ANSL_69903,7/10/2016 0:00,9/21/2016 16:25,2,Brown Tabby,0.8,7.78,13,9,0,1
ANSL_66892,11/21/2013 0:00,12/27/2018 17:47,1,White,0.72,14.19,13,9,0,2
ANSL_69750,9/28/2014 0:00,10/19/2016 8:24,,Brown,0.15,40.9,15,4,2,4
ANSL_71623,12/31/2016 0:00,1/25/2019 18:30,1,White,0.62,17.82,0,1,0,2
ANSL_57969,9/28/2017 0:00,11/19/2017 9:38,2,Black,0.5,11.06,18,4,0,1
ANSL_52200,10/25/2017 0:00,3/10/2019 13:18,0,Red,0.92,29.56,0,7,1,2
ANSL_75444,11/6/2018 0:00,4/9/2019 16:00,2,Brown Tabby,0.14,40.24,0,1,0,1
ANSL_52759,6/5/2018 0:00,9/2/2018 17:04,0,White,0.15,25.48,7,1,1,1
ANSL_74632,10/10/2015 0:00,8/4/2016 16:29,2,Brown,0.05,38.22,13,9,1,2
ANSL_56464,2/18/2014 0:00,3/17/2017 11:38,2,Brown,0.55,21.26,13,9,1,2
ANSL_69485,11/17/2004 0:00,12/15/2016 13:33,0,Tricolor,0.3,23.06,0,1,1,2
ANSL_51014,6/17/2017 0:00,2/8/2018 9:00,2,Brown Tabby,0.44,40.32,16,9,1,1
ANSL_76771,2/7/2017 0:00,5/10/2019 16:42,1,Black,0.2,30.78,13,9,0,2
ANSL_69252,11/29/2016 0:00,5/31/2017 0:00,1,White,0.45,5.39,13,9,0,2
ANSL_58085,1/29/2018 0:00,5/2/2018 17:46,0,Calico,0.48,30.54,0,1,1,1
ANSL_63686,7/20/2016 0:00,10/10/2016 12:14,1,Black,0.18,49.05,13,9,0,1
ANSL_66127,3/20/2016 0:00,11/3/2016 13:55,1,Red,0.88,49.5,7,1,0,2
ANSL_52366,1/6/2009 0:00,1/27/2019 11:56,1,Black,0.93,14.83,0,7,0,2
ANSL_55607,11/28/2013 0:00,12/28/2017 0:00,2,Brown Brindle,0.76,38.99,13,9,1,2
ANSL_72451,8/23/2018 0:00,11/29/2018 11:46,0,Black,0.96,24.33,0,1,1,1
ANSL_66055,1/25/2008 0:00,8/15/2016 11:27,1,Brown Tabby,0.66,36.01,0,1,0,1
ANSL_50488,1/7/2018 0:00,7/28/2018 12:36,,Brown,0.45,14,11,4,2,4
ANSL_68751,3/14/2018 0:00,5/24/2018 17:10,0,White,0.92,49.5,7,1,1,2
ANSL_57387,11/22/2014 0:00,4/10/2017 16:55,0,Blue,0.31,49.04,13,9,1,2
ANSL_67782,8/2/2012 0:00,1/7/2019 0:00,2,Black,0.51,45.53,13,9,0,2
ANSL_76397,4/11/2018 0:00,5/2/2019 14:16,1,Black,0.8,37.17,0,7,0,2
